
======================================================================
  CELL: arm=off  corpus=openr1-mix-ext  seed=0  steps=20000
  [global] step   5200  loss 4.0533  lr 2.59e-04
  [global] step   5300  loss 4.4460  lr 2.57e-04
  [global] step   5400  loss 4.3603  lr 2.55e-04
  [global] step   5500  loss 4.3031  lr 2.54e-04
  [global] step   5600  loss 4.4645  lr 2.52e-04
  [global] step   5700  loss 4.1901  lr 2.51e-04
  [global] step   5800  loss 4.4341  lr 2.49e-04
  [global] step   5900  loss 4.7007  lr 2.47e-04
  [global] step   6000  loss 4.4024  lr 2.46e-04
  [global] step   6100  loss 4.4780  lr 2.44e-04
  [global] step   6200  loss 3.8960  lr 2.42e-04
  [global] step   6300  loss 4.1327  lr 2.40e-04
  [global] step   6400  loss 4.5727  lr 2.39e-04
  [global] step   6500  loss 4.2800  lr 2.37e-04
  [global] step   6600  loss 4.3209  lr 2.35e-04
  [global] step   6700  loss 4.6077  lr 2.33e-04
  [global] step   6800  loss 3.5767  lr 2.31e-04
  [global] step   6900  loss 4.5845  lr 2.29e-04
  [global] step   7000  loss 4.2306  lr 2.28e-04
  [global] step   7100  loss 4.1469  lr 2.26e-04
  [global] step   7200  loss 4.1518  lr 2.24e-04
  [global] step   7300  loss 4.2533  lr 2.22e-04
  [global] step   7400  loss 4.1140  lr 2.20e-04
  [global] step   7500  loss 3.8179  lr 2.18e-04
  [global] step   7600  loss 3.9519  lr 2.16e-04
  [global] step   7700  loss 4.3244  lr 2.14e-04
  [global] step   7800  loss 3.8749  lr 2.12e-04
  [global] step   7900  loss 4.3091  lr 2.10e-04
  [global] step   8000  loss 4.1552  lr 2.08e-04
  [global] step   8100  loss 4.0081  lr 2.06e-04
  [global] step   8200  loss 4.0325  lr 2.04e-04
  [global] step   8300  loss 4.2932  lr 2.02e-04
  [global] step   8400  loss 4.2836  lr 2.00e-04
  [global] step   8500  loss 3.9760  lr 1.98e-04
  [global] step   8600  loss 3.6927  lr 1.96e-04
  [global] step   8700  loss 4.0270  lr 1.94e-04
  [global] step   8800  loss 3.7391  lr 1.91e-04
  [global] step   8900  loss 3.9224  lr 1.89e-04
  [global] step   9000  loss 4.2169  lr 1.87e-04
